CALENDAR_C;HOLIDAY_D;GLOBAL_F
HKD       ;2018-01-01;0
HKD       ;2018-02-16;0
HKD       ;2018-02-17;0
HKD       ;2018-02-19;0
HKD       ;2018-03-30;0
HKD       ;2018-03-31;0
HKD       ;2018-04-02;0
HKD       ;2018-04-05;0
HKD       ;2018-05-01;0
HKD       ;2018-05-22;0
HKD       ;2018-06-18;0
HKD       ;2018-07-02;0
HKD       ;2018-09-25;0
HKD       ;2018-10-01;0
HKD       ;2018-10-17;0
HKD       ;2018-12-25;0
HKD       ;2018-12-26;0
HKD       ;2019-01-01;0
HKD       ;2019-02-05;0
HKD       ;2019-02-06;0
HKD       ;2019-02-07;0
HKD       ;2019-04-05;0
HKD       ;2019-04-19;0
HKD       ;2019-04-20;0
HKD       ;2019-04-22;0
HKD       ;2019-05-01;0
HKD       ;2019-05-13;0
HKD       ;2019-06-07;0
HKD       ;2019-07-01;0
HKD       ;2019-09-14;0
HKD       ;2019-10-01;0
HKD       ;2019-10-07;0
HKD       ;2019-12-25;0
HKD       ;2019-12-26;0
HKD       ;2020-01-01;0
HKD       ;2020-01-27;0
HKD       ;2020-01-28;0
HKD       ;2020-04-10;0
HKD       ;2020-04-13;0
HKD       ;2020-04-30;0
HKD       ;2020-05-01;0
HKD       ;2020-06-25;0
HKD       ;2020-07-01;0
HKD       ;2020-10-01;0
HKD       ;2020-10-02;0
HKD       ;2020-10-26;0
HKD       ;2020-12-25;0
HKD       ;2021-01-01;0
HKD       ;2021-02-12;0
HKD       ;2021-02-15;0
HKD       ;2021-04-02;0
HKD       ;2021-04-05;0
HKD       ;2021-04-06;0
HKD       ;2021-05-19;0
HKD       ;2021-06-14;0
HKD       ;2021-07-01;0
HKD       ;2021-09-22;0
HKD       ;2021-10-01;0
HKD       ;2021-10-14;0
HKD       ;2021-12-27;0
HKD       ;2022-01-01;0
HKD       ;2022-02-01;0
HKD       ;2022-02-02;0
HKD       ;2022-02-03;0
HKD       ;2022-04-05;0
HKD       ;2022-04-15;0
HKD       ;2022-04-16;0
HKD       ;2022-04-18;0
HKD       ;2022-05-02;0
HKD       ;2022-05-09;0
HKD       ;2022-06-03;0
HKD       ;2022-07-01;0
HKD       ;2022-09-12;0
HKD       ;2022-10-01;0
HKD       ;2022-10-04;0
HKD       ;2022-12-26;0
HKD       ;2022-12-27;0
HKD       ;2023-01-02;0
HKD       ;2023-01-22;0
HKD       ;2023-01-23;0
HKD       ;2023-01-24;0
HKD       ;2023-01-25;0
HKD       ;2023-04-05;0
HKD       ;2023-04-07;0
HKD       ;2023-04-08;0
HKD       ;2023-04-10;0
HKD       ;2023-05-01;0
HKD       ;2023-05-26;0
HKD       ;2023-06-22;0
HKD       ;2023-07-01;0
HKD       ;2023-09-30;0
HKD       ;2023-10-02;0
HKD       ;2023-10-23;0
HKD       ;2023-12-25;0
HKD       ;2023-12-26;0
HKD       ;2024-01-01;0
HKD       ;2024-02-12;0
HKD       ;2024-02-13;0
HKD       ;2024-03-29;0
HKD       ;2024-04-01;0
HKD       ;2024-04-04;0
HKD       ;2024-05-01;0
HKD       ;2024-05-15;0
HKD       ;2024-06-10;0
HKD       ;2024-07-01;0
HKD       ;2024-09-18;0
HKD       ;2024-10-01;0
HKD       ;2024-10-11;0
HKD       ;2024-12-25;0
HKD       ;2024-12-26;0
EUR       ;2009-01-01;0
EUR       ;2009-04-10;0
EUR       ;2009-04-13;0
EUR       ;2009-05-01;0
EUR       ;2009-12-25;0
EUR       ;2009-12-26;0
EUR       ;2010-01-01;0
EUR       ;2010-04-02;0
EUR       ;2010-04-05;0
EUR       ;2010-05-01;0
EUR       ;2010-12-25;0
EUR       ;2010-12-26;0
EUR       ;2011-01-01;0
EUR       ;2011-04-22;0
EUR       ;2011-04-25;0
EUR       ;2011-12-26;0
EUR       ;2012-01-01;0
EUR       ;2012-04-06;0
EUR       ;2012-04-09;0
EUR       ;2012-05-01;0
EUR       ;2012-12-25;0
EUR       ;2012-12-26;0
EUR       ;2013-01-01;0
EUR       ;2013-03-29;0
EUR       ;2013-04-01;0
EUR       ;2013-05-01;0
EUR       ;2013-12-25;0
EUR       ;2013-12-26;0
EUR       ;2014-01-01;0
EUR       ;2014-04-18;0
EUR       ;2014-04-21;0
EUR       ;2014-05-01;0
EUR       ;2014-12-25;0
EUR       ;2014-12-26;0
EUR       ;2015-01-01;0
EUR       ;2015-04-03;0
EUR       ;2015-04-06;0
EUR       ;2015-05-01;0
EUR       ;2015-12-25;0
EUR       ;2015-12-26;0
EUR       ;2016-01-01;0
EUR       ;2016-03-25;0
EUR       ;2016-03-28;0
EUR       ;2016-05-01;0
EUR       ;2016-12-25;0
EUR       ;2016-12-26;0
EUR       ;2017-01-01;0
EUR       ;2017-04-14;0
EUR       ;2017-04-17;0
EUR       ;2017-05-01;0
EUR       ;2017-12-25;0
EUR       ;2017-12-26;0
EUR       ;2018-01-01;0
EUR       ;2018-03-30;0
EUR       ;2018-04-02;0
EUR       ;2018-05-01;0
EUR       ;2018-12-25;0
EUR       ;2018-12-26;0
EUR       ;2019-01-01;0
EUR       ;2019-04-19;0
EUR       ;2019-04-22;0
EUR       ;2019-05-01;0
EUR       ;2019-12-25;0
EUR       ;2019-12-26;0
EUR       ;2020-01-01;0
EUR       ;2020-04-10;0
EUR       ;2020-04-13;0
EUR       ;2020-05-01;0
EUR       ;2020-12-25;0
EUR       ;2021-01-01;0
EUR       ;2021-04-02;0
EUR       ;2021-04-05;0
EUR       ;2022-01-01;0
EUR       ;2022-04-15;0
EUR       ;2022-04-18;0
EUR       ;2022-05-01;0
EUR       ;2022-12-25;0
EUR       ;2022-12-26;0
EUR       ;2023-01-01;0
EUR       ;2023-04-07;0
EUR       ;2023-04-10;0
EUR       ;2023-05-01;0
EUR       ;2023-12-25;0
EUR       ;2023-12-26;0
EUR       ;2024-01-01;0
EUR       ;2024-03-29;0
EUR       ;2024-04-01;0
EUR       ;2024-05-01;0
EUR       ;2024-12-25;0
EUR       ;2024-12-26;0
GBP       ;2009-01-01;0
GBP       ;2009-04-10;0
GBP       ;2009-04-13;0
GBP       ;2009-05-04;0
GBP       ;2009-05-25;0
GBP       ;2009-08-31;0
GBP       ;2009-12-25;0
GBP       ;2009-12-28;0
GBP       ;2010-01-01;0
GBP       ;2010-04-02;0
GBP       ;2010-04-05;0
GBP       ;2010-05-03;0
GBP       ;2010-05-31;0
GBP       ;2010-08-30;0
GBP       ;2010-12-27;0
GBP       ;2010-12-28;0
GBP       ;2011-01-01;0
GBP       ;2011-01-03;0
GBP       ;2011-04-22;0
GBP       ;2011-04-25;0
GBP       ;2011-04-29;0
GBP       ;2011-05-02;0
GBP       ;2011-05-30;0
GBP       ;2011-08-29;0
GBP       ;2011-12-26;0
GBP       ;2011-12-27;0
GBP       ;2012-01-02;0
GBP       ;2012-04-06;0
GBP       ;2012-04-09;0
GBP       ;2012-05-07;0
GBP       ;2012-06-04;0
GBP       ;2012-06-05;0
GBP       ;2012-08-27;0
GBP       ;2012-12-25;0
GBP       ;2012-12-26;0
GBP       ;2013-01-01;0
GBP       ;2013-03-29;0
GBP       ;2013-04-01;0
GBP       ;2013-05-06;0
GBP       ;2013-05-27;0
GBP       ;2013-08-26;0
GBP       ;2013-12-25;0
GBP       ;2013-12-26;0
GBP       ;2014-01-01;0
GBP       ;2014-04-18;0
GBP       ;2014-04-21;0
GBP       ;2014-05-05;0
GBP       ;2014-05-26;0
GBP       ;2014-08-25;0
GBP       ;2014-12-25;0
GBP       ;2014-12-26;0
GBP       ;2015-01-01;0
GBP       ;2015-04-03;0
GBP       ;2015-04-06;0
GBP       ;2015-05-04;0
GBP       ;2015-05-25;0
GBP       ;2015-08-31;0
GBP       ;2015-12-25;0
GBP       ;2015-12-28;0
GBP       ;2016-01-01;0
GBP       ;2016-03-25;0
GBP       ;2016-03-28;0
GBP       ;2016-05-02;0
GBP       ;2016-05-30;0
GBP       ;2016-08-29;0
GBP       ;2016-12-26;0
GBP       ;2016-12-27;0
GBP       ;2017-01-02;0
GBP       ;2017-04-14;0
GBP       ;2017-04-17;0
GBP       ;2017-05-01;0
